"Order Number ","Product Name"," Item SKU ","Variation ID"," Product Status ","Qty ","Variant","Product Image"
"15900","Pure Chiffon Crinkle Scarf","10011020013217","15192293245220","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/12_1373d94d-d7c1-46b3-b969-30a820be257f.jpg?v=1719915576"
"15903","Sugary Skirt","75099858300201","15193181487396","warehouse","1","Free size / 5","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/TyLPhF4tbFhwtbxhPPmulpw8N3xPlRLa1PnZREy0_109cadff-accf-4481-bc60-1b0b51118ab2.jpg?v=1706295294"
"15910","Printed Gradient Scarf","60011010313132","15194389020964","warehouse","1","17","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/jUXncfelRJkcToq2BhVJ3KvjAkIi9WL8N8XP0d45_d4c0c053-c408-480f-8135-9c2473d4b791.jpg?v=1706296191"
"15910","Rock Stone Scarf","60011011131002","15194389053732","warehouse","1","8","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/JjnOs5Bk7YgHnjP8dw5oa0sh6IICOzivw4eC7CCf_aab4452d-645a-4125-a2c5-4fe46c9b7c82.jpg?v=1706296351"
"15910","Modal Cotton Scarf","10011030957177","15194389119268","warehouse","1","BabyBlue","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3.png?v=1715699856"
"15910","Modal Cotton Scarf","10011030957002","15194389152036","warehouse","1","OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/8FAb2yqWO6Y7BCqHeJ8ohhwsbX1HeZdLeGPlqAKb_078dbb9b-92b7-4dcb-a114-27728abf9081.jpg?v=1706297481"
"15910","Printed Gradient Scarf","60011010313015","15194389184804","warehouse","1","8","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/z94XkGDlcNQQ6CQDNuylhfImSleGP4EoZD39yTAs_ad80b680-d7d5-4da2-a868-bbdadb69dccd.jpg?v=1706296190"
"15359","No Thread Underscarf","10022323021400","15113292579108","warehouse","1","Navy","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/W76I3AOsdVVvcoISMJRqohBxor4j1PGO47BRLom7_c8b6142d-008e-4cf9-90bd-3e36906ffe54.jpg?v=1719499398"
"15359","No Thread Underscarf","10022323023200","15113292644644","warehouse","1","Creamy","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_3c05cef9-3d3f-46f9-a82f-785bb68160f7.jpg?v=1715683867"
"16158","Must Have Shirt","57499353116200","15219766100260","warehouse","1","LimeGreen / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_02249f8b-ba24-4bfa-b083-b866c5829c2a.jpg?v=1715517968"
"16158","Jazzy Chiffon Scarf","10011001082023","15219766133028","warehouse","1","","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_f60c3b85-8df9-418b-8657-1ea70d03ef81.jpg?v=1720961674"
"16159","Printed Satin Pants","23499595860540","15219785400612","warehouse","1","11 / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/23499595860520.jpg?v=1719683342"
"16164","Cotton Kuwaiti Underscarf without Tie-Back","10022323721700","15220286587172","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/0E8RNq5Lwe6VpkzTyRogm1oakiJlpF6wsvANxZBD_d08052d5-7aef-4adb-86b5-75624d7c6911.jpg?v=1706295658"
"16165","Zipper Modest Burkini","17499169921720","15220312506660","warehouse","1","S/M","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_07460b5f-6f25-429c-8aa5-609a8c792220.jpg?v=1721555319"
"16167","Easy Go Set","57499868123100","15220388200740","warehouse","1","Cafe / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/6_c7742a5b-2bc1-44c1-9176-3f8fa1c1f9f2.jpg?v=1715207884"
"16167","Easy Go Set","57499868104800","15220388233508","warehouse","1","HotPink / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_3d931c41-525a-42de-86c0-aec34740da0a.jpg?v=1715207882"
"16168","Girly Chiffon Square","10011120030217","15220401504548","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/9opomw2iUv17iqbJN7JYhj2QIFpzTXdmXxUmdLdc_0568def0-fa82-4337-8877-a0759ad73616.jpg?v=1706296399"
"16172","Side Printed Modest Burkini","17499160362040","15220515111204","warehouse","1","2 / L/XL","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_d8354200-09b6-489c-8179-f8280d076e8c.jpg?v=1718214713"
"16173","Full Chemise Cotton Body","10033434021730","15220517568804","warehouse","1","Medium / Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/4_8225cabf-4052-42fe-9bab-2080d5dc7182.jpg?v=1716818697"
"16173","Long Sleeves Vest","10033333100100","15220517601572","warehouse","1","Free size / White","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/fqwZ1CP1DyDjExuh1e03FqSkeHJSDrC4NYwHv8Zc_01eee973-b0ff-4f77-b918-b9d0e7770400.jpg?v=1706294218"
"16173","Long Sleeves Vest","10033333100200","15220517634340","warehouse","1","Free size / OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/lG9AgxMc19PMB7ig0uLbtayFMgncUNXbhHMYehUF_9dc88926-6635-4b17-91ac-949d353d44c4.jpg?v=1706294218"
"16173","Full Chemise Cotton Body","10033434000230","15220517667108","warehouse","1","Medium / OffWhite","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/3_ec844969-aa17-4d0a-9079-00b037acb65f.jpg?v=1716818697"
"16173","Long Sleeves Vest","10033333121700","15220517699876","warehouse","1","Free size / Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/3C6Cj33SIYF36hum7johZlyHwCZvEZH760uOabUF_0ccd3eee-55a6-499e-920a-0577048fb9a6.jpg?v=1706294218"
"16174","Essential Shirt","57499353306100","15220597555492","warehouse","1","Orange / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/8_1e3f9648-359a-4223-ae1c-0a210771a2c9.jpg?v=1715284467"
"16174","Essential Shirt","57499353320900","15220597588260","warehouse","1","Blue / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_63f94762-6b5f-4c37-a2e6-a6bd86ce46db.jpg?v=1715284472"
"16176","Hijab Satin Scrunchie","57022020121740","15220681048356","warehouse","1","Free size / Beige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_23256220-c158-421c-83f6-f94fb0a7f9a4.jpg?v=1719239899"
"16176","Strass Counter","10088484341423","15220681146660","warehouse","1","7","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/7_487a4265-e986-4db8-b5f2-a244baaf75aa.jpg?v=1709746299"
"16179","Plain Pure Scarf (Small Size)","10011020022230","15220710801700","warehouse","1","SandBeige","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10011020022230.jpg?v=1716467043"
"16179","Plain Pure Scarf (Big Size)","10011020023115","15220710900004","warehouse","1","SmokeyGrey","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10011020023115.jpg?v=1719321114"
"16179","Pure Chiffon Crinkle Scarf","10011020013172","15220710932772","warehouse","1","Olive","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/8_73346cc1-2676-4ed8-994a-52be25cac7d4.jpg?v=1719915576"
"16179","Plain Pure Scarf (Big Size)","10011020023118","15220711031076","warehouse","1","RosyBrown","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/10011020023118.jpg?v=1719321376"
"16179","Paisley Chiffon Scarf","10011001013381","15220711227684","warehouse","1","1","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/25_ddac3181-7594-4094-b304-c1966350e062.jpg?v=1720540184"
"16179","Basic Clips Underscarf","10022424012500","15220711293220","warehouse","1","Grey","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/2_962861fc-e673-410e-a973-d6dc71d73c45.jpg?v=1713778959"
"16179","Healthy Hair Underscarf","10022323821700","15220711358756","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/Fx1OTQ3Shrx3uzKVr4kq51Y4E1jlNaMdmIrWYiab_f0f23eb5-31bd-481a-a8f2-8a5638a501c4.jpg?v=1706791911"
"16181","Pure Cotton Kuwaiti Cap","10022322721700","15220786233636","warehouse","3","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/Untitled-1-Recovered_c912b436-24a8-4433-ad1c-63e5f743641f.jpg?v=1717596709"
"16182","Essential Shirt","57499353321700","15220832567588","warehouse","1","Black / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/13_82d5f63a-7e33-4346-a6e9-fd1b4b82b6c2.jpg?v=1715284463"
"16182","Essential Shirt","57499353320900","15220832600356","warehouse","1","Blue / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/5_63f94762-6b5f-4c37-a2e6-a6bd86ce46db.jpg?v=1715284472"
"16182","Essential Shirt","57499353306100","15220832633124","warehouse","1","Orange / Free size","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/8_1e3f9648-359a-4223-ae1c-0a210771a2c9.jpg?v=1715284467"
"16183","Normal Underscarf","10022424121700","15220864680228","warehouse","3","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/RMQOfTDwnEXYAUtAi2fXPJt8u01nTW2nkMH2m4Iu_6f6d9c0b-e818-4414-a32d-5f35af774c26.jpg?v=1713092377"
"16183","Pure Cotton Kuwaiti Cap","10022322721700","15220864712996","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/Untitled-1-Recovered_c912b436-24a8-4433-ad1c-63e5f743641f.jpg?v=1717596709"
"16183","Syrian Underscarf 2 pcs","10022424221700","15220864745764","warehouse","1","Black","https://cdn.shopify.com/s/files/1/0852/8484/7908/products/hI5sUQAb9yXJMwf0xyVRE7mxAYHscivG0OBPHctd_9f4af7ad-73a8-4387-b755-26987f088397.jpg?v=1707563633"
"16186","Hooded Oversized Shirt","16499393800100","15221066629412","warehouse","1","White","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/1_26813d7c-e884-495b-83cb-04626aee409e.jpg?v=1712223926"
"16186","Hooded Oversized Shirt","10099393802304","15221066662180","warehouse","1","LimeGreen","https://cdn.shopify.com/s/files/1/0852/8484/7908/files/8_f124f819-6b10-4339-bf99-92dbd07e7dd1.jpg?v=1712224232"
